position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,active_requests,step_energy_mj,phase
-1,23224.2444,3115.0419,19895.1667,26068.3667,3,30,696727.3333,prefill
0,4413.3445,896.9271,3383.2667,5021.5667,3,30,132400.3336,decode
1,2525.6556,179.2473,2323.3,2664.5,3,30,75769.6665,decode
2,2570.1333,52.2554,2510.0333,2604.8333,3,30,77104.0,decode
3,2631.7111,79.4334,2582.2,2723.3333,3,30,78951.3334,decode
4,2530.0111,59.7815,2484.7,2597.7667,3,30,75900.3333,decode
5,2652.4111,48.3631,2597.4667,2688.5333,3,30,79572.3334,decode
6,2569.1667,28.431,2536.6667,2589.4333,3,30,77075.0,decode
7,2499.2333,82.9734,2405.8667,2564.5333,3,30,74977.0,decode
8,2547.1778,38.7579,2503.8333,2578.5,3,30,76415.3333,decode
9,2559.4444,118.3042,2427.4667,2655.9667,3,30,76783.3334,decode
10,2576.6778,115.2612,2447.2333,2668.2,3,30,77300.3335,decode
11,2566.4333,112.5992,2447.3,2671.1,3,30,76992.9999,decode
12,2560.0889,22.8296,2538.3,2583.8333,3,30,76802.6667,decode
13,2510.8889,131.0799,2359.8333,2594.7,3,30,75326.6666,decode
14,2530.6556,17.1406,2516.3,2549.6333,3,30,75919.6666,decode
15,2595.4,120.5013,2468.0333,2707.6,3,30,77862.0001,decode
16,2555.6333,37.62,2516.3,2591.2667,3,30,76669.0,decode
17,2503.5667,82.7276,2447.9333,2598.6333,3,30,75107.0001,decode
18,2604.8667,48.5554,2563.9,2658.5,3,30,78145.9999,decode
19,2506.9778,116.0507,2373.2333,2581.0667,3,30,75209.3334,decode
20,2470.8222,73.2162,2407.1,2550.8,3,30,74124.6667,decode
21,2549.6111,40.2355,2503.5333,2577.8,3,30,76488.3333,decode
22,2481.3889,118.2218,2394.9,2616.1,3,30,74441.6666,decode
23,2510.1778,62.4253,2449.8,2574.4667,3,30,75305.3334,decode
24,2548.4889,64.5038,2476.0667,2599.7667,3,30,76454.6667,decode
25,2452.0444,85.3924,2394.0333,2550.1,3,30,73561.3333,decode
26,2587.2556,64.3883,2541.4,2660.8667,3,30,77617.6668,decode
27,2539.4444,82.9803,2444.7,2599.2,3,30,76183.3334,decode
28,2499.9111,97.2357,2394.2,2585.5333,3,30,74997.3333,decode
29,2548.6111,9.132,2539.8,2558.0333,3,30,76458.3333,decode
30,2493.5,90.85,2388.6,2546.8,3,30,74805.0,decode
31,2498.3556,73.8116,2416.0333,2558.6333,3,30,74950.6667,decode
32,2580.6444,52.5078,2522.3,2624.1,3,30,77419.3333,decode
33,2520.1778,34.8543,2480.0,2542.3,3,30,75605.3334,decode
34,2504.6333,46.3357,2474.6333,2558.0,3,30,75138.9999,decode
35,2482.0556,63.2052,2410.8333,2531.4667,3,30,74461.6666,decode
36,2540.4333,57.3408,2480.1333,2594.2667,3,30,76213.0001,decode
37,2504.9778,44.3464,2472.0333,2555.4,3,30,75149.3332,decode
38,2539.2667,19.9355,2526.4333,2562.2333,3,30,76178.0,decode
39,2491.3111,118.7451,2354.2,2560.7667,3,30,74739.3335,decode
40,2495.4222,94.7798,2409.1333,2596.8667,3,30,74862.6666,decode
41,2547.8111,46.002,2495.0667,2579.6333,3,30,76434.3332,decode
42,2522.1778,51.4798,2463.7333,2560.8,3,30,75665.3332,decode
43,2508.3,60.1041,2440.6667,2555.6,3,30,75249.0002,decode
44,2515.0667,110.754,2391.3333,2604.9333,3,30,75451.9999,decode
45,2577.1778,20.757,2554.6,2595.4333,3,30,77315.3334,decode
46,2503.5222,57.9209,2437.7,2546.7,3,30,75105.6666,decode
47,2540.8778,79.7641,2455.4667,2613.4333,3,30,76226.3333,decode
48,2493.4556,73.8064,2431.4667,2575.1,3,30,74803.6666,decode
49,2584.9111,79.8463,2523.6,2675.2,3,30,77547.3334,decode
50,2591.6778,59.0503,2552.5333,2659.6,3,30,77750.3332,decode
51,2571.2667,20.516,2547.6333,2584.5,3,30,77138.0001,decode
52,2471.5444,66.007,2425.9333,2547.2333,3,30,74146.3334,decode
53,2544.4111,15.1927,2527.7667,2557.5333,3,30,76332.3332,decode
54,2471.9,65.9961,2427.4667,2547.7333,3,30,74156.9999,decode
55,2462.0222,87.0828,2395.3,2560.5333,3,30,73860.6667,decode
56,2554.5,13.571,2544.0333,2569.8333,3,30,76635.0001,decode
57,2479.3778,79.7108,2412.8667,2567.7333,3,30,74381.3334,decode
58,2483.7333,61.6403,2424.6333,2547.6333,3,30,74512.0,decode
