round,sample_idx,source,prompt_len,generated_tokens,request_id
0,0,python_code,50,445,batch_139700326141760_0_14150624661364059
0,1,WizardLM,14,15000,batch_139700326141760_1_14150624661638615
0,2,python_code,50,15000,batch_139700326141760_2_14150624661727910
0,3,WizardLM,82,2120,batch_139700326141760_3_14150624661804749
0,4,python_code,13,1579,batch_139700326141760_4_14150624661881437
0,5,python_code,47,3339,batch_139700326141760_5_14150624661948363
0,6,python_code,15,1744,batch_139700326141760_6_14150624662017486
0,7,LongForm,395,1561,batch_139700326141760_7_14150624662081841
0,8,WizardLM,140,3129,batch_139700326141760_8_14150624662169290
0,9,LongForm,14,3614,batch_139700326141760_9_14150624662242122
0,10,LongForm,12,1705,batch_139700326141760_10_14150624662305676
0,11,python_code,14,5935,batch_139700326141760_11_14150624662369007
0,12,WizardLM,133,15000,batch_139700326141760_12_14150624662431066
0,13,python_code,18,571,batch_139700326141760_13_14150624662501726
0,14,python_code,50,334,batch_139700326141760_14_14150624662563075
0,15,WizardLM,154,1344,batch_139700326141760_15_14150624662626649
0,16,WizardLM,16,592,batch_139700326141760_16_14150624662696754
0,17,WizardLM,66,15000,batch_139700326141760_17_14150624662757898
0,18,LongForm,15,15000,batch_139700326141760_18_14150624662822788
0,19,LongForm,263,15000,batch_139700326141760_19_14150624662882813
0,20,LongForm,12,15000,batch_139700326141760_20_14150624663109593
0,21,python_code,55,10186,batch_139700326141760_21_14150624663183633
0,22,WizardLM,73,3101,batch_139700326141760_22_14150624663255001
0,23,python_code,32,6885,batch_139700326141760_23_14150624663324070
0,24,python_code,21,514,batch_139700326141760_24_14150624663388934
0,25,LongForm,48,15000,batch_139700326141760_25_14150624663454914
0,26,LongForm,343,15000,batch_139700326141760_26_14150624663522086
0,27,python_code,22,739,batch_139700326141760_27_14150624663607756
0,28,python_code,36,511,batch_139700326141760_28_14150624663671711
0,29,python_code,56,15000,batch_139700326141760_29_14150624663735588
1,0,WizardLM,209,15000,batch_139700326141760_0_14151825526643806
1,1,LongForm,14,365,batch_139700326141760_1_14151825527013151
1,2,LongForm,161,15000,batch_139700326141760_2_14151825527106484
1,3,python_code,56,15000,batch_139700326141760_3_14151825527195227
1,4,python_code,30,1820,batch_139700326141760_4_14151825527270392
1,5,LongForm,17,15000,batch_139700326141760_5_14151825527342538
1,6,WizardLM,125,870,batch_139700326141760_6_14151825527413040
1,7,WizardLM,47,1616,batch_139700326141760_7_14151825527492741
1,8,LongForm,24,831,batch_139700326141760_8_14151825527563411
1,9,WizardLM,128,440,batch_139700326141760_9_14151825527630364
1,10,python_code,38,10500,batch_139700326141760_10_14151825527712045
1,11,python_code,19,292,batch_139700326141760_11_14151825527785103
1,12,python_code,38,307,batch_139700326141760_12_14151825527851870
1,13,WizardLM,205,3456,batch_139700326141760_13_14151825527919545
1,14,WizardLM,54,15000,batch_139700326141760_14_14151825528006176
1,15,LongForm,52,1399,batch_139700326141760_15_14151825528076720
1,16,WizardLM,9,1032,batch_139700326141760_16_14151825528147107
1,17,python_code,60,498,batch_139700326141760_17_14151825528209541
1,18,WizardLM,317,2457,batch_139700326141760_18_14151825528275749
1,19,python_code,40,15000,batch_139700326141760_19_14151825528375476
1,20,python_code,41,248,batch_139700326141760_20_14151825528442927
1,21,python_code,26,477,batch_139700326141760_21_14151825528510518
1,22,LongForm,18,97,batch_139700326141760_22_14151825528574397
1,23,LongForm,9,597,batch_139700326141760_23_14151825528655185
1,24,WizardLM,133,15000,batch_139700326141760_24_14151825528723310
1,25,LongForm,26,15000,batch_139700326141760_25_14151825528800904
