position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
0,49890.24,15921.2534,37799.0001,118246.0002,25,decode
1,9214.1511,20176.6802,3265.2727,104503.9997,25,decode
2,5653.4217,4953.9373,3143.8333,26502.0,25,decode
3,5999.8866,6071.0539,3099.5833,32242.0001,25,decode
4,5680.2625,4821.4759,3243.8182,25262.0001,25,decode
5,5673.1514,5021.6911,3102.8333,26580.9999,25,decode
6,6004.118,6216.8087,3050.0833,32886.0002,25,decode
7,5814.2567,5450.5066,3204.9091,29098.0,25,decode
8,5633.0172,5049.4938,3182.6667,26446.0001,25,decode
9,5773.8582,5339.2898,3086.0,28464.0,25,decode
10,5835.0702,5548.5707,3196.4545,29594.0001,25,decode
11,5890.2104,5503.539,3355.0909,29239.0001,25,decode
12,6237.9221,5060.7752,3169.3636,27720.9997,25,decode
13,5796.3147,4976.0024,3439.1818,26630.0,25,decode
14,5810.8537,5265.1393,3213.0,27820.0002,25,decode
15,5831.3637,5031.5306,3539.7273,26758.0,25,decode
16,5835.6801,5229.8594,3278.0,27517.0002,25,decode
17,5821.2425,5339.3631,3398.4545,28649.9999,25,decode
18,5805.2126,5073.6549,3320.3636,26949.0001,25,decode
19,5792.0788,5132.8084,3168.0,27434.9998,25,decode
20,5967.8036,5619.5976,3301.8182,29924.0001,25,decode
21,5860.0401,5083.0522,3329.3636,26966.0001,25,decode
22,5786.6228,5083.4145,3392.1818,26989.0001,25,decode
23,5865.4918,5064.8328,3572.0,26781.0,25,decode
24,5803.2627,5175.8778,3269.0909,27907.0001,25,decode
25,5829.1698,5019.0251,3186.0909,26635.9999,25,decode
26,5848.3416,4984.7671,3388.1,26684.0,25,decode
27,5790.8608,4986.9336,3321.4546,26760.9999,25,decode
28,5844.1836,5090.9322,3514.7,26871.9999,25,decode
29,5923.6449,5501.8645,3364.2,29729.0,25,decode
30,5824.8843,5033.214,3232.7273,26457.0001,25,decode
31,5886.6735,5155.5497,3440.2,26855.0,25,decode
32,5862.6364,5386.2036,3418.0909,29030.9998,25,decode
33,5947.9953,5165.5291,3310.8182,27041.0,25,decode
34,5877.3648,5195.5341,3361.2727,27216.0001,25,decode
35,5842.8955,5035.5178,3264.2727,26730.9999,25,decode
36,5766.4638,5053.6743,3272.6363,26987.0,25,decode
37,5892.345,5233.2407,3286.4546,27822.9998,25,decode
38,5842.7232,5186.4453,3485.6364,27660.0,25,decode
39,5868.8466,5060.5635,3360.5455,27152.0003,25,decode
40,5785.1351,5051.1821,3197.3636,26921.0,25,decode
41,5959.9441,5428.4727,3348.7,29067.0002,25,decode
42,5816.911,5262.1036,3397.8182,27664.0,25,decode
43,5920.2828,5168.2226,3560.2,27814.0,25,decode
44,5851.3563,5297.5068,3381.9091,28258.0001,25,decode
45,5872.8543,5148.8334,3208.4546,27377.9998,25,decode
46,5886.5,5255.5843,3502.3,28195.0002,25,decode
47,5966.0195,5524.3392,3357.4546,29360.9999,25,decode
48,5821.863,4936.3248,3198.8182,26519.0002,25,decode
49,5933.1181,5570.8899,3365.5,29907.9999,25,decode
50,5897.9892,5380.6007,3286.4546,27865.0004,25,decode
51,5817.5594,5013.5177,3465.0909,26727.9999,25,decode
52,5915.6175,5423.4002,3418.4545,29064.9999,25,decode
53,6005.263,5692.7559,3178.0909,30347.9997,25,decode
54,5786.8309,5024.6726,3346.7,27166.0002,25,decode
55,5845.6017,5009.8102,3403.9091,26727.9998,25,decode
56,5859.6258,5011.5706,3342.4546,26408.9999,25,decode
57,5902.5276,5559.7096,3399.6364,29911.9999,25,decode
58,5900.9582,4985.1143,3239.7273,25989.0002,25,decode
59,5826.5042,5036.2552,3215.5454,26821.0,25,decode
60,5795.331,4979.2553,3471.0,26707.9999,25,decode
61,5994.4993,5769.6635,3409.2727,30997.0002,25,decode
62,7467.0499,9030.7162,3470.7,43342.6667,25,decode
63,5883.2396,5265.7968,3385.7273,28282.9999,25,decode
64,5860.0514,5236.3994,3202.7272,27564.0,25,decode
65,5874.1525,5058.4911,3435.2,26945.0001,25,decode
