round,sample_idx,source,prompt_len,generated_tokens,request_id
0,0,WizardLM,77,12000,stream_139790108412800_0_14087876842060629
0,1,LongForm,145,12000,stream_139790108412800_1_14087924384360486
0,2,LongForm,134,12000,stream_139790108412800_2_14087972398445307
0,3,WizardLM,147,12000,stream_139790108412800_3_14088020442718385
0,4,LongForm,340,12000,stream_139790108412800_4_14088069237115285
0,5,python_code,14,12000,stream_139790108412800_5_14088125006613846
0,6,LongForm,9,12000,stream_139790108412800_6_14088181774219376
0,7,LongForm,9,1611,stream_139790108412800_7_14088236007426352
0,8,WizardLM,102,12000,stream_139790108412800_8_14088286534299792
0,9,WizardLM,30,12000,stream_139790108412800_9_14088337058094302
0,10,WizardLM,103,12000,stream_139790108412800_10_14088387987659640
0,11,python_code,84,12000,stream_139790108412800_11_14088440006011253
0,12,python_code,44,359,stream_139790108412800_12_14088493374659899
0,13,LongForm,193,2354,stream_139790108412800_13_14088546572203813
0,14,WizardLM,309,10990,stream_139790108412800_14_14088599538837974
0,15,python_code,14,9991,stream_139790108412800_15_14088652589036165
0,16,LongForm,18,8992,stream_139790108412800_16_14088705689758380
0,17,python_code,19,7993,stream_139790108412800_17_14088758346922825
0,18,LongForm,21,6994,stream_139790108412800_18_14088810904569451
0,19,LongForm,12,5995,stream_139790108412800_19_14088862475756735
0,20,python_code,21,2513,stream_139790108412800_20_14088915238937254
0,21,LongForm,18,3997,stream_139790108412800_21_14088967984984484
0,22,WizardLM,105,2998,stream_139790108412800_22_14089020160968683
0,23,python_code,18,1999,stream_139790108412800_23_14089072416303573
0,24,WizardLM,45,1000,stream_139790108412800_24_14089123623183397
