position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
1,1149.3444,818.0965,802.9095,5107.5455,304,decode
2,1058.2118,453.5619,793.0431,2876.4546,304,decode
3,1065.8484,483.2452,804.8627,5127.4559,304,decode
4,1060.8101,459.8789,798.4792,2948.0,304,decode
5,1054.9848,436.2288,786.4949,2768.4546,304,decode
6,1078.6667,513.1189,797.0097,4351.0728,304,decode
7,1053.8757,427.2099,802.3866,2747.8182,304,decode
8,1061.7786,471.3169,809.7667,3000.3636,304,decode
9,1052.8193,435.8637,813.1694,2800.7273,304,decode
10,1066.1075,483.0645,793.3469,3103.0909,304,decode
11,1056.4673,439.2803,801.1391,2897.75,304,decode
12,1077.5056,524.5559,793.2149,4524.8779,304,decode
13,1070.2365,562.3515,805.0684,7568.6786,304,decode
14,1086.0808,560.5235,776.949,5755.7629,304,decode
15,1063.7774,472.5185,803.6923,3033.8182,304,decode
16,1050.9108,437.7087,796.3939,2922.5,304,decode
17,1071.3012,508.8075,786.9796,3260.6364,304,decode
18,1050.6646,427.8559,804.0976,2808.0,304,decode
19,1072.7693,512.6923,798.2044,3288.0909,304,decode
20,1051.5428,428.728,795.9592,2835.3333,304,decode
21,1064.1842,463.4151,800.2556,2974.6364,304,decode
22,1052.9844,419.6278,803.887,2698.7273,304,decode
23,1057.4294,430.248,807.9057,2745.0833,304,decode
24,1078.9249,518.214,777.2959,4351.0728,304,decode
25,1058.2866,444.1732,807.4609,3079.5,304,decode
26,1063.8789,472.8159,808.1707,3054.5455,304,decode
27,1059.6093,444.7817,805.725,3244.25,304,decode
28,1066.1244,485.9709,793.2149,3129.6364,304,decode
29,1069.5962,475.3503,805.9192,4364.7722,304,decode
30,1067.5176,482.1817,786.5785,3090.0,304,decode
31,1059.9841,447.7276,798.6633,2962.1667,304,decode
32,1087.059,548.3592,794.5545,5127.4559,304,decode
33,1068.0917,476.0005,805.8889,3067.5455,304,decode
34,1070.5641,479.416,804.5983,4524.8779,304,decode
35,1076.5675,511.9098,803.1778,3275.7273,304,decode
36,1054.2934,427.1277,793.0431,2739.4545,304,decode
37,1073.1075,496.1246,808.541,3152.3636,304,decode
38,1059.3692,454.1038,796.779,2909.2727,304,decode
39,1064.9385,458.0151,801.1885,2942.5,304,decode
40,1073.7579,492.3255,798.2044,4301.832,304,decode
41,1057.7512,439.2129,802.2056,2785.4545,303,decode
42,1074.2974,495.6648,800.1478,4351.0728,303,decode
43,1057.607,435.8311,793.2149,2775.5833,303,decode
44,1063.8977,472.5616,794.0202,3027.3636,303,decode
45,1072.3611,485.1988,786.5785,4364.7722,303,decode
46,1065.6706,467.6046,797.0097,2982.3636,303,decode
47,1058.8297,441.7062,776.949,2775.3636,303,decode
48,1052.1413,419.0384,804.3644,2665.5834,303,decode
49,1059.3851,445.307,804.9837,2807.0833,303,decode
50,1049.8699,410.5176,786.9796,2636.3333,303,decode
51,1060.6574,444.4729,802.9106,2809.75,303,decode
52,1051.0748,415.0971,803.85,2746.8333,303,decode
53,1060.5006,457.8069,795.9592,2922.25,303,decode
54,1050.8947,414.4457,801.9322,2797.25,303,decode
55,1055.9617,427.4342,803.5826,2705.0834,303,decode
56,1078.116,529.2148,803.1778,5755.7629,303,decode
57,1053.9823,425.0596,777.2959,2703.9167,303,decode
58,1060.7436,455.0886,796.3939,2897.75,303,decode
59,1051.7908,429.3783,793.2149,2742.25,303,decode
60,1063.9425,465.0062,805.5556,4351.0728,303,decode
61,1083.4107,533.5428,786.5785,5127.4559,303,decode
62,1051.871,415.7466,802.2056,2629.3333,303,decode
63,1061.2986,460.5618,800.2556,2922.5,303,decode
64,1054.3057,425.2956,793.6522,2667.3333,303,decode
65,1056.0156,443.5353,811.893,2840.6667,303,decode
66,1053.9387,424.4848,793.4747,2672.4166,303,decode
67,1058.4265,448.7285,806.8333,2919.1667,303,decode
68,1057.1947,439.3369,810.7119,2766.6667,303,decode
69,1047.3588,409.3322,804.5983,2823.5833,303,decode
70,1053.5652,431.878,807.2966,2745.0833,303,decode
71,1057.7463,462.4712,805.9192,5063.1667,303,decode
72,1065.5867,483.7014,793.0431,3079.5,303,decode
73,1065.9372,549.4211,801.1885,7568.6786,303,decode
74,1072.7488,509.9722,798.4646,3244.25,303,decode
75,1049.07,421.3455,793.2149,2840.3333,303,decode
76,1055.3596,436.2432,806.5778,2821.0833,303,decode
77,1061.5508,464.4987,786.5785,4364.7722,303,decode
78,1072.2582,503.3598,803.6923,4524.8779,303,decode
79,1062.5457,475.5248,802.9095,4351.0728,303,decode
80,1042.1591,390.5802,786.4949,2513.2308,303,decode
81,1040.9989,397.1483,805.5556,2606.25,303,decode
82,1051.6039,444.5372,798.2044,2907.0,303,decode
83,1044.2313,413.2318,802.2056,2701.8333,303,decode
84,1057.4347,455.0525,800.2556,2962.8333,303,decode
85,1041.6459,395.144,793.3469,2594.25,303,decode
86,1058.0084,453.0575,804.7967,2942.5,303,decode
87,1046.4905,412.2465,793.2149,2688.0,303,decode
88,1048.6927,416.458,804.1553,2705.0833,303,decode
89,1054.5666,443.5797,776.949,2919.0833,303,decode
90,1052.5083,428.5555,790.3918,2775.5833,303,decode
91,1062.9069,475.1497,796.3939,5127.4559,303,decode
92,1049.9972,425.7356,786.9796,2752.0,303,decode
93,1056.5924,446.0556,803.887,4364.7722,303,decode
94,1050.2266,420.1465,803.85,2724.5833,303,decode
95,1044.6475,405.51,795.9592,2643.9167,303,decode
96,1049.1657,418.5664,805.8889,2723.3333,303,decode
97,1055.1752,444.0774,799.6373,4351.0728,303,decode
98,1045.6152,400.8811,803.1778,2619.9231,303,decode
99,1064.5966,500.9711,777.2959,5755.7629,303,decode
100,1045.544,403.1214,806.4914,2627.5,303,decode
101,1064.39,472.4539,793.2149,4524.8779,303,decode
102,1043.3968,398.1032,801.5258,2595.0769,303,decode
103,1053.5144,431.0931,786.5785,2826.75,303,decode
104,1041.6729,391.6536,802.2056,2547.1667,303,decode
105,1047.7307,408.0326,800.2556,2660.3333,303,decode
106,1045.5646,398.7553,798.6633,2580.3333,303,decode
107,1044.8624,400.6313,793.0431,2610.8333,303,decode
108,1054.6468,435.0615,808.2564,2819.5,303,decode
109,1058.3664,447.594,809.7667,4364.7722,303,decode
110,1055.4523,439.1877,802.3866,2852.5833,303,decode
111,1046.5423,401.7485,804.7478,2613.25,303,decode
112,1055.259,440.0257,811.9135,2840.6667,303,decode
113,1042.5479,391.8859,794.5545,2560.0833,303,decode
114,1054.7366,448.0461,808.2034,2919.1667,303,decode
115,1044.0524,397.5357,794.1959,2575.0833,303,decode
116,1063.2628,473.6635,793.2149,4351.0728,303,decode
117,1039.1972,394.0951,804.0976,2544.75,303,decode
118,1144.5162,829.5119,786.5785,5063.1667,303,decode
119,1046.3099,418.5061,794.0202,2729.5833,302,decode
120,1063.3833,488.8348,798.7377,5127.4559,302,decode
121,1047.8911,420.4473,797.5739,2736.5,302,decode
122,1054.9545,440.576,786.4949,2840.3333,302,decode
123,1054.2055,437.5601,801.9322,2821.0833,302,decode
