position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
0,48062.1067,9857.6844,37040.9997,114183.9998,150,decode
1,2210.6535,8870.3405,806.8898,108143.9999,150,decode
2,1618.3878,2748.5706,806.8235,28717.0001,150,decode
3,1646.9398,2977.9342,798.4082,32064.0001,150,decode
4,1593.6348,2534.4311,813.35,26135.0,150,decode
5,1617.2999,2728.0612,795.8041,27087.0,150,decode
6,1622.6243,2720.6008,785.396,28287.0001,150,decode
7,1638.4353,2581.0376,804.3942,25939.9999,150,decode
8,1600.897,2604.0551,791.7407,26941.0001,150,decode
9,1613.7388,2665.2666,785.4808,26860.9999,150,decode
10,1610.2018,2742.3817,811.4667,29406.9999,150,decode
11,1617.4159,2674.1949,810.161,27821.0,150,decode
12,1613.1579,2669.2438,797.0594,27116.0002,150,decode
13,1632.8371,2786.9409,803.4811,29498.0,150,decode
14,1585.6883,2529.599,816.434,25916.0001,150,decode
15,1634.0521,2812.3496,801.4563,29308.0,150,decode
16,1595.0632,2610.1766,803.5,27014.9999,150,decode
17,1627.7237,2755.5805,780.8302,28932.0003,150,decode
18,1611.7178,2616.0297,807.9794,26537.9997,150,decode
19,1600.4813,2594.1713,797.0943,27092.0001,150,decode
20,1605.3381,2634.974,801.6226,27238.0,150,decode
21,1611.5419,2634.9176,808.0367,26867.9999,150,decode
22,1593.965,2625.0844,797.3679,27533.0002,150,decode
23,1614.1181,2746.4212,817.1881,29191.9999,150,decode
24,1605.2717,2594.0066,786.1782,26612.9999,150,decode
25,1627.0588,2729.3844,796.3564,28016.0,150,decode
26,1602.7876,2642.9272,805.2075,27387.0,150,decode
27,1602.4921,2578.8949,804.8265,26482.0,150,decode
28,1605.9869,2611.5925,802.0891,26474.9999,150,decode
29,1601.5129,2584.6801,788.1683,26516.0003,150,decode
30,1616.1371,2670.7546,827.1111,27985.0001,150,decode
31,1647.7003,2933.4083,816.8305,31155.9999,150,decode
32,1614.8985,2615.0223,815.2752,26990.0001,150,decode
33,1603.5361,2621.9966,788.2277,27354.0,150,decode
34,1608.2825,2609.018,795.4752,26584.9999,150,decode
35,1615.66,2638.6144,812.2975,26977.0001,150,decode
36,1628.4203,2778.0272,806.8898,29520.9998,150,decode
37,1605.9171,2668.6056,813.35,27416.0001,150,decode
38,1621.1608,2689.0919,804.4653,27989.0001,150,decode
39,1605.6496,2612.2071,817.3729,27318.9999,150,decode
40,1619.0677,2675.2957,824.8351,27308.0001,150,decode
41,1618.1951,2729.2306,798.42,28673.9999,150,decode
42,1602.1573,2604.9989,808.5196,27115.0,150,decode
43,1654.1955,2762.0775,806.8235,28412.9999,150,decode
44,1617.2123,2641.7373,805.2222,27540.9999,150,decode
45,1603.5524,2608.682,798.0935,27218.0002,150,decode
46,1645.5683,2942.4629,785.396,31318.0001,150,decode
47,1615.4269,2639.0132,791.7407,27739.9999,150,decode
48,1598.5012,2604.5409,795.8041,26971.9999,150,decode
49,1601.7392,2607.8329,785.4808,27289.0002,150,decode
50,1527.7016,1989.2314,807.45,15905.4999,150,decode
51,1526.5216,1919.8993,811.4528,14984.5001,150,decode
52,1529.2287,1916.7656,797.0594,14509.0001,150,decode
53,1534.7431,1970.6446,816.434,16651.4999,150,decode
54,1539.8762,2035.6306,817.7075,17380.9999,150,decode
55,1519.6401,1871.5498,801.4563,14292.5,150,decode
56,1517.3106,1871.2835,780.8302,14578.0001,150,decode
57,1539.4852,1972.3214,793.5437,15939.0001,150,decode
58,1521.0903,1915.1388,797.0943,15835.5,150,decode
59,1530.7753,1916.0119,801.6226,14463.5002,150,decode
60,1537.4047,1972.5018,808.0367,16060.5,150,decode
61,1521.9232,1905.6876,797.3679,15507.4999,150,decode
62,1516.0063,1883.0396,816.8182,14270.0,150,decode
63,1523.888,1891.9233,817.1881,14587.5002,150,decode
64,1542.6999,2020.9911,786.1782,15980.5,150,decode
65,1510.2203,1871.6394,796.3564,14785.0,150,decode
66,1519.5647,1905.2203,811.07,14413.0,150,decode
67,1584.428,2048.0209,814.3398,15525.5001,150,decode
68,1506.9122,1844.4168,802.0891,14192.0001,150,decode
69,1524.4848,1906.4372,788.1683,14838.5,150,decode
70,1522.2665,1906.6662,806.8898,14911.0,150,decode
71,1533.3431,1965.245,810.15,15995.9999,150,decode
72,1511.1607,1838.8387,818.1271,14228.9999,150,decode
73,1543.6694,1990.4945,788.2277,14614.0001,150,decode
74,1539.1516,2014.2839,795.4752,16147.5,150,decode
75,1531.4672,1950.3217,819.4851,14918.0001,150,decode
76,1508.878,1856.4931,814.5981,14251.9999,150,decode
77,1572.3949,2058.9703,811.4667,15979.0001,150,decode
78,1520.2395,1880.8087,804.4653,14619.5001,150,decode
79,1511.5548,1885.2773,785.396,14520.4999,150,decode
80,1525.4821,1988.1265,810.161,15547.0,150,decode
81,1509.511,1882.0709,823.9626,14572.0,150,decode
82,1505.896,1917.1265,808.5196,14814.0001,150,decode
83,1498.1192,1896.1557,798.42,15434.5,150,decode
84,1512.0584,1993.0017,798.0935,15959.9999,150,decode
85,1486.2665,1681.1815,797.0594,14181.5,150,decode
86,1448.395,1694.2528,791.7407,15633.4999,150,decode
87,1460.225,1700.572,804.3942,14592.5,150,decode
88,1423.6331,1521.7833,798.4082,14123.5,150,decode
89,1436.6332,1600.3602,785.4808,14996.5001,150,decode
90,1446.6883,1668.9332,795.8041,14854.0,150,decode
91,1423.6609,1530.0299,811.028,14292.0001,150,decode
92,1442.7553,1650.2053,803.4811,15899.0,150,decode
93,1439.9535,1617.9804,816.434,13729.5,150,decode
94,1425.0499,1543.6377,815.4851,14358.0,150,decode
95,1446.4758,1648.8036,803.5,16073.0,150,decode
96,1425.1369,1512.5762,780.8302,13507.5,150,decode
97,1430.4022,1588.444,786.1782,14375.0,150,decode
98,1431.5615,1547.0813,793.5437,14075.5001,150,decode
99,1442.2186,1637.4448,801.6226,15324.9999,150,decode
100,1426.182,1549.3216,805.35,14293.5001,150,decode
101,1436.4317,1598.8107,797.3679,14509.0001,150,decode
102,1448.9078,1716.3996,788.1683,16651.4999,150,decode
103,1432.5237,1533.5433,807.9794,13647.0,150,decode
104,1417.8547,1539.0735,815.398,14292.5,150,decode
105,1440.2244,1580.2206,805.2075,14047.0001,150,decode
106,1472.6035,1682.982,788.2277,15939.0001,150,decode
107,1423.7161,1512.5694,795.4752,13702.9999,150,decode
108,1419.4759,1560.7777,810.3431,14463.5002,150,decode
109,1457.4804,1690.9492,814.4412,16060.5,150,decode
110,1421.6627,1506.4362,815.2323,13554.0,150,decode
111,1423.2085,1543.756,804.4653,14270.0,150,decode
112,1444.6541,1591.8842,804.8265,14015.9999,150,decode
113,1440.9995,1644.9037,810.15,15980.5,150,decode
114,1417.3836,1517.9834,817.9915,13890.4999,150,decode
115,1444.8884,1602.0507,808.5196,14275.5,150,decode
116,1432.9049,1606.4409,806.8235,15525.5001,150,decode
117,1439.731,1571.2243,815.3197,13929.0,150,decode
118,1433.6159,1573.7743,814.1597,14296.5,150,decode
119,1431.1473,1545.955,825.5138,14212.0001,150,decode
120,1446.6567,1686.5792,809.65,15995.9999,150,decode
121,1431.6197,1519.4754,785.396,13751.0001,150,decode
122,1436.8534,1582.7119,805.2222,14358.5,150,decode
123,1442.6378,1662.0261,805.9352,16147.5,150,decode
124,1438.2795,1615.9749,798.0935,14506.5002,150,decode
125,1427.9538,1532.8904,791.7407,14251.9999,150,decode
126,1438.5318,1652.6603,812.2479,15979.0001,150,decode
127,1432.2677,1527.3953,797.0594,13790.5,150,decode
128,1504.1567,1687.9927,804.3942,14348.0,150,decode
129,1429.6456,1607.8926,818.7833,15547.0,150,decode
130,1431.7521,1555.2769,785.4808,14450.0,150,decode
131,1437.015,1599.2636,810.7129,14814.0001,150,decode
132,1430.1481,1555.5051,803.4811,14031.5,150,decode
133,1441.1562,1630.9031,816.434,15959.9999,150,decode
134,1398.5071,1358.6436,795.8041,9881.6666,150,decode
135,1400.7005,1317.206,803.5,9668.6667,150,decode
136,1437.56,1458.041,780.8302,10944.0,150,decode
137,1392.4047,1283.5545,809.7642,9197.6666,150,decode
138,1403.1709,1367.0337,793.5437,9843.0001,150,decode
139,1402.361,1378.6066,786.1782,10639.6666,150,decode
140,1387.329,1308.6139,796.3564,9584.3334,150,decode
141,1406.7846,1383.1348,797.3679,9753.0,150,decode
142,1397.8286,1360.813,805.35,10685.9999,150,decode
143,1402.8528,1373.229,802.0891,11057.3335,150,decode
144,1401.0821,1345.845,788.1683,9553.3333,150,decode
145,1390.2274,1308.9359,805.2075,9645.9999,150,decode
146,1408.7885,1392.2362,811.4667,10438.3334,150,decode
147,1401.9565,1343.2805,807.9794,9699.3333,150,decode
