round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,request_id
0,0,0,python_code,50,1638,0.0,stream_139964436663120_0_14090435943702908
0,1,1,WizardLM,14,12000,4.04,stream_139964436663120_1_14090439984271731
0,2,2,python_code,50,8944,8.0,stream_139964436663120_2_14090443948457652
0,3,3,WizardLM,82,12000,12.02,stream_139964436663120_3_14090447966830227
0,4,4,python_code,13,12000,16.01,stream_139964436663120_4_14090451955700014
0,5,5,python_code,47,12000,20.04,stream_139964436663120_5_14090455981967567
0,6,6,python_code,15,12000,24.05,stream_139964436663120_6_14090459988912240
0,7,7,LongForm,395,12000,28.04,stream_139964436663120_7_14090463980907051
0,8,8,WizardLM,140,12000,32.0,stream_139964436663120_8_14090467948371687
0,9,9,LongForm,14,12000,36.03,stream_139964436663120_9_14090471972488461
0,10,10,LongForm,12,906,40.01,stream_139964436663120_10_14090475949828711
0,11,11,python_code,14,12000,44.01,stream_139964436663120_11_14090479954902228
0,12,12,WizardLM,133,12000,48.05,stream_139964436663120_12_14090483990253974
0,13,13,python_code,18,12000,52.05,stream_139964436663120_13_14090487993333142
0,14,14,python_code,50,12000,56.01,stream_139964436663120_14_14090491951617476
0,15,15,WizardLM,154,12000,60.0,stream_139964436663120_15_14090495946132613
0,16,16,WizardLM,16,872,64.02,stream_139964436663120_16_14090499966463887
0,17,17,WizardLM,66,12000,68.04,stream_139964436663120_17_14090503980454457
0,18,18,LongForm,15,12000,72.04,stream_139964436663120_18_14090507980425477
0,19,19,LongForm,263,12000,76.02,stream_139964436663120_19_14090511963225290
0,20,0,python_code,50,929,80.02,stream_139964436663120_20_14090515960564806
0,21,1,WizardLM,14,12000,84.02,stream_139964436663120_21_14090519963330335
0,22,2,python_code,50,4176,88.0,stream_139964436663120_22_14090523948359226
0,23,3,WizardLM,82,2070,92.05,stream_139964436663120_23_14090527990092681
0,24,4,python_code,13,12000,96.03,stream_139964436663120_24_14090531971322908
0,25,5,python_code,47,12000,100.01,stream_139964436663120_25_14090535956429232
0,26,6,python_code,15,12000,104.05,stream_139964436663120_26_14090539991191193
0,27,7,LongForm,395,1253,108.05,stream_139964436663120_27_14090543991482399
0,28,8,WizardLM,140,12000,112.02,stream_139964436663120_28_14090547959740038
0,29,9,LongForm,14,12000,116.01,stream_139964436663120_29_14090551949334859
0,30,10,LongForm,12,12000,120.03,stream_139964436663120_30_14090555973951785
0,31,11,python_code,14,12000,124.01,stream_139964436663120_31_14090559954579845
0,32,12,WizardLM,133,12000,128.04,stream_139964436663120_32_14090563979382009
0,33,13,python_code,18,12000,132.01,stream_139964436663120_33_14090567955119865
0,34,14,python_code,50,12000,136.05,stream_139964436663120_34_14090571991046430
0,35,15,WizardLM,154,12000,140.0,stream_139964436663120_35_14090575945531487
0,36,16,WizardLM,16,964,144.04,stream_139964436663120_36_14090579983741015
0,37,17,WizardLM,66,12000,148.05,stream_139964436663120_37_14090583995698257
0,38,18,LongForm,15,12000,152.02,stream_139964436663120_38_14090587959992983
0,39,19,LongForm,263,12000,156.02,stream_139964436663120_39_14090591963064215
0,40,0,python_code,50,12000,160.03,stream_139964436663120_40_14090595972961018
0,41,1,WizardLM,14,12000,164.0,stream_139964436663120_41_14090599945325639
0,42,2,python_code,50,12000,168.03,stream_139964436663120_42_14090603974102656
0,43,3,WizardLM,82,12000,172.03,stream_139964436663120_43_14090607974943850
0,44,4,python_code,13,12000,176.03,stream_139964436663120_44_14090611972690584
0,45,5,python_code,47,1002,180.01,stream_139964436663120_45_14090615950783083
0,46,6,python_code,15,12000,184.04,stream_139964436663120_46_14090619988294864
0,47,7,LongForm,395,12000,188.03,stream_139964436663120_47_14090623971624696
0,48,8,WizardLM,140,12000,192.05,stream_139964436663120_48_14090627996041047
0,49,9,LongForm,14,12000,196.03,stream_139964436663120_49_14090631973245781
0,50,10,LongForm,12,12000,200.03,stream_139964436663120_50_14090635968778201
0,51,11,python_code,14,12000,204.04,stream_139964436663120_51_14090639984569891
0,52,12,WizardLM,133,12000,208.01,stream_139964436663120_52_14090643953942189
0,53,13,python_code,18,12000,212.04,stream_139964436663120_53_14090647986521771
0,54,14,python_code,50,12000,216.05,stream_139964436663120_54_14090651995467362
0,55,15,WizardLM,154,12000,220.0,stream_139964436663120_55_14090655947050946
0,56,16,WizardLM,16,12000,224.03,stream_139964436663120_56_14090659969411158
