position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
1,2376.7325,1099.5794,1055.6923,4350.35,95,decode
2,1514.714,174.3729,1083.475,1811.45,95,decode
3,1548.8309,190.6793,1107.6842,1762.275,95,decode
4,1528.1339,191.4061,1084.5897,1799.325,95,decode
5,1499.0363,168.584,1098.475,1795.25,95,decode
6,1584.9679,237.9727,1042.45,1902.0476,95,decode
7,1534.4682,200.5294,1074.5526,1760.725,95,decode
8,1532.1851,207.43,1064.95,1924.825,95,decode
9,1510.6244,170.3036,1078.75,1991.7,95,decode
10,1505.2983,173.8457,1102.027,1771.175,95,decode
11,1507.732,179.5835,1045.6,1745.725,95,decode
12,1518.0023,174.4753,1075.925,2062.4,95,decode
13,1495.7526,175.1624,1062.075,1742.525,95,decode
14,1509.3433,167.2245,1110.7368,1799.5,95,decode
15,1514.9714,175.3897,1110.0541,1930.175,95,decode
16,1524.3742,186.0931,1112.025,1774.825,95,decode
17,1480.0543,159.3189,1085.425,1924.75,95,decode
18,1526.4758,183.0021,1080.1316,1896.75,95,decode
19,1481.7398,160.431,1116.4615,2088.625,95,decode
20,1475.8949,149.0401,1077.9231,1791.25,95,decode
21,1510.0705,167.4835,1070.6,1825.65,95,decode
22,1470.6143,144.1885,1114.2973,1838.175,95,decode
23,1483.9653,158.6615,1069.7692,1777.75,95,decode
24,1531.6321,185.5928,1076.2821,1817.4,95,decode
25,1488.7452,168.4,1081.875,1738.6,95,decode
26,1474.9748,149.5672,1061.45,1798.75,95,decode
27,1488.9133,163.6131,1096.8684,1809.65,95,decode
28,1485.174,150.3006,1068.0513,1832.05,95,decode
29,1467.4936,139.3834,1085.05,1701.6,95,decode
30,1523.5876,175.2827,1115.5,1779.7,95,decode
31,1501.815,177.6767,1055.5263,1738.6,95,decode
32,1483.5562,167.6827,1029.8718,1721.425,95,decode
33,1546.6923,184.6862,1104.0,1778.375,95,decode
34,1504.3689,175.2112,1101.1538,1728.8,95,decode
35,1495.2217,202.4205,1049.75,2739.3333,95,decode
36,1514.0104,174.7161,1055.6923,1814.0,95,decode
37,1478.1523,154.2262,1083.475,1771.975,95,decode
38,1491.2526,164.6309,1100.0,2063.575,95,decode
39,1537.0066,205.3498,1047.25,1883.0,95,decode
40,1489.893,165.7744,1064.675,1815.475,95,decode
41,1459.7365,140.2228,1042.45,1748.5,95,decode
42,1477.0536,163.3739,1074.5526,1856.7,95,decode
43,1468.4401,156.2083,1057.625,1810.975,95,decode
44,1448.8925,145.2406,1062.125,1819.975,95,decode
45,1536.1699,193.908,1105.8684,1832.625,95,decode
46,1502.334,203.0721,1045.6,1815.475,95,decode
47,1485.4749,174.994,1067.2,1776.75,95,decode
48,1500.0994,183.2163,1058.625,1852.2,95,decode
49,1490.055,161.5684,1110.7368,1771.175,95,decode
50,1475.5343,159.6764,1114.2564,1792.275,95,decode
51,1479.5624,173.172,1079.175,1803.7,95,decode
52,1458.8634,141.6628,1085.425,1742.6,95,decode
53,1452.1285,139.9251,1080.1316,1749.125,95,decode
54,1501.0934,187.4308,1091.975,1757.85,95,decode
55,1484.3536,202.7651,1075.125,2043.5,95,decode
56,1488.3112,177.6742,1070.6,1782.15,95,decode
57,1498.9121,173.5031,1119.0,1813.025,95,decode
58,1485.502,180.3399,1069.7692,1739.9,95,decode
59,1461.1925,149.8465,1076.2821,1825.65,95,decode
60,1500.2276,171.4008,1081.875,1982.875,95,decode
61,1433.7647,128.268,1061.45,1716.525,95,decode
62,1491.6091,176.7647,1037.575,1817.4,95,decode
63,1494.1027,196.5548,1068.0513,1991.9,95,decode
64,1477.0147,172.1984,1085.05,1798.75,95,decode
65,1458.1529,145.6403,1115.5,1832.05,95,decode
66,1492.7112,170.9371,1053.9,1854.775,95,decode
67,1442.0075,140.2915,1029.8718,1733.275,95,decode
68,1494.4333,179.3064,1053.825,1779.7,95,decode
69,1496.719,195.2721,1101.1538,1875.375,95,decode
70,1478.4644,163.5353,1049.75,1742.975,95,decode
71,1455.4414,154.4936,1055.6923,1778.375,95,decode
72,1498.6573,181.3171,1067.05,2082.475,95,decode
73,1468.7514,204.5546,1100.0,2739.3333,95,decode
74,1462.9143,149.6624,1047.25,1754.025,95,decode
75,1500.5859,205.6217,1064.675,2063.575,95,decode
76,1480.2673,171.2487,1042.45,1788.7,95,decode
77,1462.5024,165.4281,1076.525,1883.0,95,decode
78,1488.4947,190.0116,1057.625,2067.85,95,decode
79,1439.7708,151.8055,1062.125,2016.55,95,decode
80,1496.677,186.8136,1113.9,1786.375,95,decode
81,1510.3103,208.2208,1045.6,1814.0,95,decode
82,1485.2986,189.8183,1067.2,1819.975,95,decode
83,1471.3109,169.5125,1058.625,1754.95,95,decode
84,1517.0579,226.2176,1015.0,1907.175,95,decode
85,1471.1115,177.4889,1062.675,1749.7,95,decode
86,1490.9095,185.2348,1060.9,1748.5,95,decode
87,1461.4745,164.5865,1085.425,1985.425,95,decode
88,1428.0214,143.1667,1069.55,1792.275,95,decode
89,1449.9508,157.2086,1080.1316,1748.85,95,decode
90,1443.6742,161.3833,1075.125,1907.975,95,decode
91,1471.0697,189.4322,1070.6,1757.075,95,decode
92,1459.7916,167.1761,1118.1842,1698.5,95,decode
93,1455.2318,158.8435,1069.7692,1829.75,95,decode
94,1448.2884,158.951,1075.7,1734.175,95,decode
95,1485.8123,186.6375,1081.875,1782.15,95,decode
96,1467.7152,182.1304,1061.45,1873.9,95,decode
97,1456.3492,164.0463,1037.575,1809.375,95,decode
98,1438.9255,158.2781,1068.0513,1825.65,95,decode
99,1436.6075,142.9562,1043.575,1747.8,95,decode
100,1459.5431,187.0444,1065.55,1817.4,95,decode
101,1514.4682,202.3484,1053.9,1782.15,95,decode
102,1459.1777,162.5912,1029.8718,1767.175,95,decode
103,1442.9156,149.9031,1053.825,1832.05,95,decode
104,1481.6448,212.9084,1092.375,1825.65,95,decode
105,1495.4883,189.2467,1049.75,1758.425,95,decode
106,1441.3737,161.6366,1031.925,1779.7,95,decode
107,1452.03,152.7641,1055.6923,1746.325,95,decode
108,1442.9392,158.6999,1100.0,1742.975,95,decode
109,1495.0291,200.5828,1047.25,1798.75,95,decode
110,1460.2334,200.5734,1064.675,1793.925,95,decode
111,1471.0432,169.29,1042.45,1948.1,95,decode
112,1472.9131,211.0851,1066.925,2739.3333,95,decode
113,1471.1405,191.9317,1053.775,2063.575,95,decode
114,1439.2872,172.1217,1062.125,1960.925,95,decode
115,1472.6531,163.9802,1103.85,1738.9,95,decode
116,1472.9823,205.0973,1045.6,1883.0,95,decode
117,1471.4445,164.1821,1067.2,1784.675,95,decode
118,1706.0469,572.2988,1058.625,2739.3333,95,decode
119,1494.1182,191.5511,1015.0,1754.025,95,decode
120,1480.3112,197.5685,1062.675,1795.25,95,decode
121,1478.6386,192.1805,1060.9,1821.35,95,decode
122,1488.3777,229.9386,1085.425,1883.0,95,decode
123,1451.377,163.1905,1069.55,2046.2,95,decode
124,1430.4318,143.0537,1080.1316,1772.125,95,decode
125,1407.136,133.531,1075.125,1767.65,95,decode
126,1494.3801,208.9606,1035.975,1916.575,95,decode
127,1480.7105,215.2023,1084.35,1819.975,95,decode
128,1432.7195,136.3629,1064.925,1714.875,95,decode
129,1461.3053,188.6131,1062.325,1919.025,95,decode
130,1454.1148,189.9277,1056.25,1803.8,95,decode
131,1439.2263,140.1035,1061.45,1699.625,95,decode
132,1497.4697,193.0088,1037.575,1780.375,95,decode
133,1453.0109,210.4709,1073.05,1792.275,95,decode
134,1438.5688,150.1228,1043.575,1750.775,95,decode
135,1447.6076,169.2195,1065.55,1740.575,95,decode
