position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
0,6981.7798,14663.5046,1341.6667,129911.0001,90,decode
1,5754.5004,12315.699,1697.1,109021.9998,90,decode
2,4768.7827,6061.3854,1669.6333,34673.0001,90,decode
3,4730.8569,6032.8096,1683.3,36027.0001,90,decode
4,4664.6151,5817.0511,1678.6897,35816.0,90,decode
5,4775.6051,6247.5167,1663.7667,34784.0002,90,decode
6,4735.3747,6062.7495,1682.8333,36611.9999,90,decode
7,4782.6227,6272.3432,1592.5667,35038.9999,90,decode
8,4756.7876,6339.7426,1650.8333,40623.0003,90,decode
9,4819.8036,6365.217,1643.0333,36181.9998,90,decode
10,4773.1666,6392.297,1649.6667,41001.0,90,decode
11,4809.071,6307.5786,1638.7333,35738.9998,90,decode
12,4785.078,6315.2801,1624.6333,38579.9999,90,decode
13,4772.1871,6289.8483,1642.3667,36086.0004,90,decode
14,4798.1553,6359.8041,1652.1,38656.0001,90,decode
15,4722.1141,6049.3985,1644.2333,36236.9998,90,decode
16,4830.6142,6625.3293,1679.5667,39503.0,90,decode
17,4749.1065,6083.3294,1649.9333,36739.9999,90,decode
18,4784.9862,6492.4854,1674.8333,38966.0001,90,decode
19,4801.4906,6317.2331,1584.5,36977.0,90,decode
20,4803.8383,6454.5028,1639.0333,38347.0,90,decode
21,4746.9484,6120.5378,1639.1,36140.9999,90,decode
22,4807.75,6554.2143,1625.5333,39169.0,90,decode
23,4778.7752,6245.9206,1751.7333,36716.0002,90,decode
24,4859.8512,6253.7462,1856.0,38714.9998,90,decode
25,4804.7149,6413.7177,1613.2,36685.0002,90,decode
26,4731.758,6231.5556,1631.8667,38905.9998,90,decode
27,4788.2789,6270.1598,1565.1,36475.0001,90,decode
28,4791.0483,6495.5287,1545.9333,39113.0,90,decode
29,4745.0694,6162.8508,1612.0,36760.9999,90,decode
30,4857.6515,6562.6316,1591.6333,39161.0001,90,decode
31,4756.0315,6164.6909,1604.9333,36859.9998,90,decode
32,4842.0286,6653.2264,1598.1,40186.0002,90,decode
33,4782.6136,6416.4005,1627.9655,35934.9999,90,decode
34,4741.6117,6169.6801,1599.5,37497.0001,90,decode
35,4790.2745,6395.7133,1577.6667,36198.9999,90,decode
36,4753.3473,6196.8824,1623.8667,36201.0,90,decode
