round,sample_idx,source,prompt_len,generated_tokens,request_id
0,0,WizardLM,77,12000,stream_140654389726512_0_14070621645871889
0,1,LongForm,145,12000,stream_140654389726512_1_14070649772524022
0,2,LongForm,134,12000,stream_140654389726512_2_14070677626721949
0,3,WizardLM,147,12000,stream_140654389726512_3_14070705467731843
0,4,LongForm,340,12000,stream_140654389726512_4_14070729189807323
0,5,python_code,14,12000,stream_140654389726512_5_14070753088799245
0,6,LongForm,9,12000,stream_140654389726512_6_14070777630696972
0,7,LongForm,9,12000,stream_140654389726512_7_14070802395540295
0,8,WizardLM,102,12000,stream_140654389726512_8_14070827342247220
0,9,WizardLM,30,12000,stream_140654389726512_9_14070852463581808
0,10,WizardLM,103,12000,stream_140654389726512_10_14070877647084698
0,11,python_code,84,12000,stream_140654389726512_11_14070902996952643
0,12,python_code,44,12000,stream_140654389726512_12_14070928510788457
0,13,LongForm,193,12000,stream_140654389726512_13_14070954243806240
0,14,WizardLM,309,12000,stream_140654389726512_14_14070980258453722
0,15,python_code,14,12000,stream_140654389726512_15_14071006807156603
0,16,LongForm,18,12000,stream_140654389726512_16_14071033811986361
0,17,python_code,19,12000,stream_140654389726512_17_14071061137188137
0,18,LongForm,21,12000,stream_140654389726512_18_14071088767030607
0,19,LongForm,12,12000,stream_140654389726512_19_14071117062637878
0,20,python_code,21,1581,stream_140654389726512_20_14071145999796048
0,21,LongForm,18,12000,stream_140654389726512_21_14071175693665799
0,22,WizardLM,105,3604,stream_140654389726512_22_14071206337506050
0,23,python_code,18,12000,stream_140654389726512_23_14071236767831259
0,24,WizardLM,45,12000,stream_140654389726512_24_14071267609386429
0,25,WizardLM,44,11796,stream_140654389726512_25_14071298982779785
0,26,WizardLM,82,799,stream_140654389726512_26_14071330369068888
0,27,WizardLM,143,3063,stream_140654389726512_27_14071362110254603
0,28,LongForm,436,10299,stream_140654389726512_28_14071393553837069
0,29,LongForm,12,1340,stream_140654389726512_29_14071424684718951
1,0,LongForm,22,12000,stream_140654389726512_0_14071978969220900
1,1,WizardLM,43,12000,stream_140654389726512_1_14072003101498312
1,2,python_code,26,12000,stream_140654389726512_2_14072027039839853
1,3,WizardLM,13,12000,stream_140654389726512_3_14072051652729969
1,4,python_code,17,12000,stream_140654389726512_4_14072075857872387
1,5,WizardLM,98,12000,stream_140654389726512_5_14072100212051306
1,6,WizardLM,29,12000,stream_140654389726512_6_14072124673853288
1,7,WizardLM,93,12000,stream_140654389726512_7_14072149417910125
1,8,WizardLM,64,12000,stream_140654389726512_8_14072174583809365
1,9,python_code,20,12000,stream_140654389726512_9_14072199674793451
1,10,LongForm,27,12000,stream_140654389726512_10_14072225001848806
1,11,LongForm,15,12000,stream_140654389726512_11_14072250471330505
1,12,LongForm,303,4426,stream_140654389726512_12_14072276217979780
